Id,Type
10001,Cancer
10002,Cancer
10003,Immune
10004,Immune
10005,Cancer
10006,Connective
10007,Cancer
10008,Connective
10009,Connective
10010,Connective
10011,Connective
10012,Cancer
10013,Immune
10014,Immune
10015,Connective
10016,Cancer
10017,Cancer
10018,Immune
10019,Immune
10020,Cancer
10021,Connective
10022,Cancer
10023,Connective
10024,Cancer
10025,Connective
10026,Cancer
10027,Cancer
10028,Immune
10029,Connective
10030,Cancer
10031,Cancer
10032,Cancer
10033,Cancer
10034,Connective
10035,Connective
10036,Connective
10037,Connective
10038,Immune
10039,Cancer
10040,Connective
10041,Cancer
10042,Connective
10043,Connective
10044,Connective
10045,Immune
10046,Immune
10047,Cancer
10048,Cancer
10049,Connective
10050,Immune
10051,Connective
10052,Cancer
10053,Immune
10054,Cancer
10055,Cancer
10056,Cancer
10057,Connective
10058,Cancer
10059,Immune
10060,Cancer
10061,Connective
10062,Cancer
10063,Cancer
10064,Cancer
10065,Cancer
10066,Cancer
10067,Connective
10068,Immune
10069,Immune
10070,Connective
10071,Immune
10072,Immune
10073,Cancer
10074,Cancer
10075,Cancer
10076,Connective
10077,Cancer
10078,Connective
10079,Immune
10080,Immune
10081,Connective
10082,Cancer
10083,Connective
10084,Connective
10085,Connective
10086,Cancer
10087,Cancer
10088,Connective
10089,Connective
10090,Connective
10091,Cancer
10092,Cancer
10093,Cancer
10094,Connective
10095,Connective
10096,Cancer
10097,Cancer
10098,Cancer
10099,Connective
10100,Cancer
10101,Immune
10102,Cancer
10103,Cancer
10104,Cancer
10105,Connective
10106,Connective
10107,Cancer
10108,Immune
10109,Connective
10110,Cancer
10111,Connective
10112,Cancer
10113,Immune
10114,Connective
10115,Cancer
10116,Cancer
10117,Connective
10118,Cancer
10119,Connective
10120,Connective
10121,Connective
10122,Cancer
10123,Cancer
10124,Cancer
10125,Immune
10126,Cancer
10127,Cancer
10128,Cancer
10129,Connective
10130,Connective
10131,Immune
10132,Cancer
10133,Cancer
10134,Immune
10135,Cancer
10136,Immune
10137,Immune
10138,Connective
10139,Cancer
10140,Immune
10141,Cancer
10142,Immune
10143,Immune
10144,Immune
10145,Cancer
10146,Immune
10147,Cancer
10148,Cancer
10149,Cancer
10150,Cancer
10151,Immune
10152,Cancer
10153,Immune
10154,Immune
10155,Cancer
10156,Cancer
10157,Cancer
10158,Immune
10159,Cancer
10160,Cancer
10161,Connective
10162,Immune
10163,Connective
10164,Immune
10165,Connective
10166,Immune
10167,Cancer
10168,Cancer
10169,Immune
10170,Cancer
