Id,Type
10001,Connective
10002,Connective
10003,Immune
10004,Immune
10005,Connective
10006,Connective
10007,Connective
10008,Connective
10009,Connective
10010,Connective
10011,Connective
10012,Connective
10013,Immune
10014,Immune
10015,Connective
10016,Connective
10017,Immune
10018,Immune
10019,Immune
10020,Connective
10021,Connective
10022,Connective
10023,Connective
10024,Immune
10025,Immune
10026,Immune
10027,Connective
10028,Immune
10029,Connective
10030,Connective
10031,Connective
10032,Connective
10033,Connective
10034,Connective
10035,Immune
10036,Connective
10037,Connective
10038,Immune
10039,Immune
10040,Connective
10041,Connective
10042,Connective
10043,Connective
10044,Connective
10045,Connective
10046,Immune
10047,Connective
10048,Connective
10049,Immune
10050,Immune
10051,Connective
10052,Connective
10053,Immune
10054,Connective
10055,Connective
10056,Immune
10057,Connective
10058,Connective
10059,Immune
10060,Connective
10061,Connective
10062,Connective
10063,Connective
10064,Connective
10065,Connective
10066,Connective
10067,Connective
10068,Immune
10069,Immune
10070,Connective
10071,Immune
10072,Immune
10073,Connective
10074,Connective
10075,Connective
10076,Connective
10077,Connective
10078,Connective
10079,Immune
10080,Immune
10081,Connective
10082,Connective
10083,Connective
10084,Connective
10085,Connective
10086,Connective
10087,Connective
10088,Connective
10089,Immune
10090,Connective
10091,Connective
10092,Connective
10093,Connective
10094,Connective
10095,Connective
10096,Connective
10097,Connective
10098,Connective
10099,Connective
10100,Connective
10101,Immune
10102,Connective
10103,Connective
10104,Connective
10105,Connective
10106,Connective
10107,Connective
10108,Immune
10109,Connective
10110,Connective
10111,Connective
10112,Connective
10113,Immune
10114,Connective
10115,Immune
10116,Connective
10117,Connective
10118,Connective
10119,Connective
10120,Immune
10121,Connective
10122,Connective
10123,Connective
10124,Connective
10125,Immune
10126,Connective
10127,Connective
10128,Connective
10129,Connective
10130,Connective
10131,Connective
10132,Connective
10133,Connective
10134,Immune
10135,Immune
10136,Connective
10137,Immune
10138,Connective
10139,Connective
10140,Immune
10141,Connective
10142,Immune
10143,Immune
10144,Immune
10145,Connective
10146,Immune
10147,Connective
10148,Connective
10149,Connective
10150,Connective
10151,Connective
10152,Connective
10153,Immune
10154,Immune
10155,Immune
10156,Immune
10157,Connective
10158,Immune
10159,Connective
10160,Connective
10161,Connective
10162,Immune
10163,Connective
10164,Immune
10165,Connective
10166,Immune
10167,Cancer
10168,Cancer
10169,Immune
10170,Immune
10171,Cancer
10172,Immune
10173,Cancer
10174,Immune
10175,Cancer
10176,Immune
10177,Connective
10178,Immune
10179,Cancer
10180,Immune
10181,Immune
10182,Immune
10183,Immune
10184,Cancer
10185,Cancer
10186,Immune
10187,Cancer
10188,Cancer
10189,Cancer
10190,Immune
10191,Immune
10192,Cancer
10193,Cancer
10194,Immune
10195,Cancer
10196,Cancer
10197,Cancer
10198,Cancer
10199,Cancer
10200,Cancer
10201,Immune
10202,Immune
10203,Immune
10204,Immune
10205,Cancer
10206,Cancer
10207,Cancer
10208,Cancer
10209,Immune
10210,Immune
10211,Cancer
10212,Immune
10213,Connective
10214,Immune
10215,Cancer
10216,Connective
10217,Immune
10218,Cancer
10219,Connective
10220,Cancer
10221,Cancer
10222,Immune
10223,Cancer
10224,Connective
10225,Immune
10226,Cancer
10227,Immune
10228,Cancer
10229,Immune
10230,Cancer
10231,Cancer
10232,Cancer
10233,Cancer
10234,Immune
10235,Connective
10236,Cancer
10237,Connective
10238,Cancer
10239,Cancer
10240,Cancer
10241,Connective
10242,Connective
10243,Immune
10244,Immune
10245,Connective
10246,Immune
10247,Cancer
10248,Cancer
10249,Cancer
10250,Cancer
10251,Cancer
10252,Connective
10253,Cancer
10254,Cancer
10255,Cancer
10256,Connective
10257,Cancer
10258,Connective
10259,Connective
10260,Connective
10261,Cancer
10262,Cancer
10263,Cancer
10264,Connective
10265,Cancer
10266,Connective
10267,Cancer
10268,Cancer
10269,Cancer
10270,Cancer
10271,Cancer
10272,Cancer
10273,Cancer
10274,Immune
10275,Cancer
10276,Cancer
10277,Cancer
10278,Connective
10279,Cancer
10280,Immune
10281,Cancer
10282,Cancer
10283,Connective
10284,Connective
10285,Cancer
10286,Cancer
10287,Cancer
10288,Cancer
10289,Cancer
10290,Cancer
10291,Immune
10292,Cancer
10293,Immune
10294,Cancer
10295,Cancer
10296,Connective
10297,Connective
10298,Connective
10299,Immune
10300,Cancer
10301,Connective
10302,Cancer
10303,Immune
10304,Connective
10305,Immune
10306,Immune
10307,Cancer
10308,Immune
10309,Connective
10310,Connective
10311,Cancer
10312,Immune
10313,Connective
10314,Immune
10315,Immune
10316,Immune
10317,Immune
10318,Cancer
10319,Immune
10320,Cancer
10321,Immune
10322,Cancer
10323,Cancer
10324,Cancer
10325,Cancer
10326,Cancer
10327,Cancer
10328,Cancer
10329,Connective
10330,Cancer
10331,Cancer
10332,Cancer
10333,Cancer
10334,Cancer
10335,Cancer
10336,Cancer
10337,Cancer
10338,Cancer
10339,Cancer
10340,Cancer
10341,Cancer
10342,Immune
10343,Immune
10344,Cancer
10345,Cancer
10346,Cancer
10347,Immune
10348,Cancer
10349,Cancer
10350,Connective
10351,Immune
10352,Cancer
10353,Immune
10354,Connective
10355,Immune
10356,Cancer
10357,Connective
10358,Immune
10359,Connective
10360,Immune
10361,Immune
10362,Immune
10363,Immune
10364,Immune
10365,Immune
10366,Connective
10367,Connective
10368,Immune
10369,Cancer
10370,Cancer
10371,Cancer
10372,Cancer
10373,Cancer
10374,Cancer
10375,Immune
10376,Cancer
10377,Cancer
10378,Cancer
10379,Cancer
10380,Cancer
10381,Cancer
10382,Connective
10383,Cancer
10384,Cancer
10385,Connective
10386,Immune
10387,Cancer
10388,Cancer
10389,Immune
10390,Cancer
10391,Cancer
10392,Cancer
10393,Cancer
10394,Cancer
10395,Cancer
10396,Immune
10397,Connective
10398,Immune
10399,Immune
10400,Cancer
